Vtrue,Rtrue
-1.884037292,-0.256354615
-1.870925753,-0.22094417
-1.857579235,-0.18588218
-1.843768724,-0.151156814
-1.82949422,-0.116768071
-1.815199054,-0.082737908
-1.800740608,-0.04905926
-1.786062252,-0.015729324
-1.771224348,0.017245304
-1.756282284,0.049858568
-1.741186387,0.082115898
-1.725932035,0.114016326
-1.710461451,0.145547753
-1.694807666,0.176717096
-1.678970681,0.207524354
-1.662789242,0.237934889
-1.64631025,0.267958777
-1.629592186,0.297608578
-1.61263505,0.326884293
-1.595438841,0.355785922
-1.57800356,0.384313465
-1.560329206,0.412466922
-1.542294683,0.440219872
-1.523594278,0.467505617
-1.504532563,0.494390606
-1.485109537,0.520874839
-1.465325202,0.546958317
-1.445179556,0.57264104
-1.4246726,0.597923007
-1.403804334,0.622804218
-1.382019727,0.647182319
-1.359532471,0.671096718
-1.336453374,0.694567848
-1.312782438,0.71759571
-1.288519661,0.740180304
-1.263171365,0.762241209
-1.236682803,0.783769509
-1.209268327,0.804800121
-1.180927938,0.825333044
-1.151050191,0.845279826
-1.119583823,0.864633052
-1.086731687,0.883422065
-1.051980482,0.901580987
-1.014910975,0.919056008
-0.975831532,0.935886708
-0.933292206,0.951901006
-0.887838785,0.967163678
-0.838992044,0.981628102
-0.78554212,0.995174304
-0.726777526,1.007734215
-0.662032489,1.019243249
-0.589722232,1.029567322
-0.508368994,1.038578325
-0.416293685,1.046134547
-0.310881438,1.05202049
-0.189573674,1.056020587
-0.04885661,1.057824821
0.114360039,1.057119322
0.302846351,1.053483366
0.516851095,1.046515718
0.754110972,1.035822812
1.004905658,1.021104444
1.252930536,1.002271996
1.478579344,0.979536042
1.665278347,0.953413104
1.80528538,0.924631679
1.900853838,0.893972569
1.960823876,0.862125056
1.99571432,0.829611427
2.014249408,0.796782557
2.022337064,0.763856968
2.023346434,0.730955986
2.020360351,0.698193411
2.0147691,0.665621723
2.007324409,0.633269812
1.998672008,0.601161158
1.989254752,0.569311563
1.979295587,0.537727766
1.96886666,0.50641069
1.958347864,0.475373485
1.947787871,0.444617727
1.937041069,0.414138667
1.926368519,0.383944795
1.915582912,0.354031245
1.904675514,0.324398233
1.893710233,0.295048039
